Date;Open;High;Low;Close;Adj Close;Volume;Returns
15.04.2019;885,289978;890,070007;885,289978;890,030029;890,030029;0;0,54
16.04.2019;890,030029;894,090027;887,630005;889,190002;889,190002;0;-0,09
17.04.2019;889,130005;892,640015;884,23999;890,349976;890,349976;0;0,14
23.04.2019;890,5;897;890,140015;894,289978;894,289978;0;0,43
24.04.2019;894,299988;895,75;891,98999;892,299988;892,299988;0;-0,22
25.04.2019;892,409973;892,940002;885,429993;885,650024;885,650024;0;-0,76
26.04.2019;885,719971;887,409973;881,539978;883,52002;883,52002;0;-0,25
29.04.2019;883,52002;886,539978;881,22998;883,840027;883,840027;0;0,04
30.04.2019;883,840027;883,840027;879,349976;880,909973;880,909973;0;-0,33
02.05.2019;880,830017;880,849976;872,599976;876,460022;876,460022;0;-0,5
03.05.2019;876,440002;885;873,280029;880,77002;880,77002;0;0,49
06.05.2019;880,76001;880,76001;866,450012;873,51001;873,51001;0;-0,82
07.05.2019;873,51001;880,559998;866,669983;870,210022;870,210022;0;-0,38
08.05.2019;870,210022;876,169983;867,25;871,789978;871,789978;0;0,18
09.05.2019;871,780029;871,780029;859,090027;859,150024;859,150024;0;-1,45
10.05.2019;859,179993;871,659973;859,179993;870,97998;870,97998;0;1,37
13.05.2019;870,97998;873,390015;860,190002;861;861;0;-1,15
14.05.2019;860,929993;864,73999;857,72998;864,400024;864,400024;0;0,4
15.05.2019;864,719971;869,330017;859,47998;866,549988;866,549988;0;0,21
16.05.2019;866,590027;882,48999;866,570007;882,48999;882,48999;0;1,83
20.05.2019;882,450012;891,52002;879,27002;885,090027;885,090027;0;0,3
21.05.2019;885,090027;891,349976;885,090027;889,76001;889,76001;0;0,53
22.05.2019;889,710022;890,52002;885,150024;888,73999;888,73999;0;-0,11
23.05.2019;888,75;888,77002;869,090027;869,109985;869,109985;0;-2,21
24.05.2019;869,109985;877,700012;869,109985;875,950012;875,950012;0;0,79
27.05.2019;875,960022;878,780029;872,26001;876,469971;876,469971;74795000;0,06
28.05.2019;876,469971;880,27002;868,22998;872,859985;872,859985;0;-0,41
29.05.2019;872,859985;872,859985;850,52002;853,119995;853,119995;0;-2,26
31.05.2019;852,98999;853;838,440002;852,090027;852,090027;0;-0,11
03.06.2019;852,01001;863,150024;842,590027;863,150024;863,150024;0;1,31
04.06.2019;863,150024;863,150024;855,01001;859,75;859,75;0;-0,39
05.06.2019;859,76001;865,960022;859,150024;861,090027;861,090027;0;0,15
06.06.2019;861,090027;867,97998;860,22998;862,280029;862,280029;0;0,14
07.06.2019;862,280029;870,609985;862,280029;868,840027;868,840027;0;0,76
11.06.2019;868,789978;876,299988;867,830017;874,890015;874,890015;0;0,7
12.06.2019;874,799988;874,799988;858,840027;859,849976;859,849976;0;-1,71
13.06.2019;859,919983;861,590027;854,97998;859,190002;859,190002;0;-0,08
14.06.2019;859,190002;863,02002;853,909973;861,169983;861,169983;0;0,23
17.06.2019;861,190002;863,23999;856,25;856,460022;856,460022;0;-0,55
18.06.2019;856,460022;868,049988;854,539978;866,630005;866,630005;0;1,19
19.06.2019;866,530029;869,700012;862,22998;865,52002;865,52002;0;-0,12
20.06.2019;865,580017;873,47998;865,580017;870,51001;870,51001;0;0,57
21.06.2019;870,51001;875,679993;869,320007;871,75;871,75;0;0,14
24.06.2019;872,580017;879,210022;868,98999;869,52002;869,52002;0;-0,35
25.06.2019;869,5;869,539978;861,01001;861,590027;861,590027;0;-0,91
26.06.2019;861,609985;866,679993;860,650024;860,72998;860,72998;0;-0,1
27.06.2019;860,75;866,570007;860,690002;864,200012;864,200012;0;0,4
28.06.2019;864,200012;866,690002;862,960022;864,630005;864,630005;0;0,05
01.07.2019;864,669983;879,570007;864,580017;878,929993;878,929993;131025900;1,65
02.07.2019;878,929993;880,280029;875,159973;877,450012;877,450012;107349200;-0,17
03.07.2019;877,47998;880,039978;872,869995;879,98999;879,98999;88331400;0,29
04.07.2019;879,98999;889,099976;879,98999;888,559998;888,559998;99627900;0,97
05.07.2019;888,559998;889,76001;883,98999;885,700012;885,700012;72581400;-0,32
08.07.2019;885,700012;892,969971;885,700012;891,169983;891,169983;82419900;0,62
09.07.2019;890,51001;890,549988;881,349976;883,179993;883,179993;92250400;-0,82
10.07.2019;882,98999;884,809998;881,359985;883,080017;883,080017;84084400;0,01
11.07.2019;883,099976;885,309998;879,429993;883,5;883,5;83145800;0,05
12.07.2019;883,5;885,640015;878,780029;881,77002;881,77002;59820200;-0,2
15.07.2019;881,849976;884,890015;877,549988;880,5;880,5;47094500;-0,15
16.07.2019;880,48999;880,690002;871,380005;874,109985;874,109985;50382500;-0,72
17.07.2019;874,159973;874,340027;867,26001;867,840027;867,840027;45956900;-0,72
18.07.2019;867,840027;867,840027;859,590027;861,890015;861,890015;54097900;-0,69
19.07.2019;861,969971;863,650024;859,340027;863,219971;863,219971;51416900;0,15
22.07.2019;863,210022;867,820007;863,119995;865,27002;865,27002;52871800;0,24
23.07.2019;865,27002;875,320007;865;874,73999;874,73999;60153100;1,09
24.07.2019;874,73999;877,280029;869,570007;871,880005;871,880005;52124500;-0,33
25.07.2019;871,659973;876,23999;862,090027;863,799988;863,799988;60045000;-0,9
26.07.2019;863,809998;870,450012;862,140015;867,400024;867,400024;44246300;0,42
29.07.2019;867,400024;869,26001;864,22998;865,080017;865,080017;54219700;-0,27
30.07.2019;865,080017;865,679993;851,97998;852,400024;852,400024;60451300;-1,47
31.07.2019;852,400024;860,890015;852,400024;859,140015;859,140015;58918000;0,79
01.08.2019;859,039978;864,950012;854,820007;863,26001;863,26001;53706700;0,49
02.08.2019;863,25;863,25;848,539978;853,580017;853,580017;60499600;-1,12
05.08.2019;853,559998;853,559998;832,400024;834,210022;834,210022;62672300;-2,27
06.08.2019;833,530029;842,700012;832,119995;837,48999;837,48999;56259700;0,48
07.08.2019;837,539978;842,469971;827,080017;830,340027;830,340027;59309000;-0,86
08.08.2019;830,359985;843,690002;830,359985;842,640015;842,640015;61772100;1,48
09.08.2019;842,659973;846,799988;837,630005;837,820007;837,820007;44553400;-0,57
12.08.2019;837,820007;843,090027;833,820007;834,97998;834,97998;45800400;-0,34
13.08.2019;834,669983;843,109985;829,630005;842,780029;842,780029;67011300;0,97
14.08.2019;842,799988;843,320007;820,77002;822,669983;822,669983;84383700;-2,39
15.08.2019;822,950012;827,309998;806,23999;817,929993;817,929993;106459400;-0,61
16.08.2019;817,969971;827,080017;817,940002;827,080017;827,080017;92508700;1,11
19.08.2019;827,080017;840,76001;827,080017;840,76001;840,76001;87179500;1,65
20.08.2019;840,690002;845,859985;837,73999;839,73999;839,73999;63288000;-0,11
21.08.2019;839,75;847,76001;835,390015;844,630005;844,630005;62489400;0,58
22.08.2019;844,630005;847,5;839,97998;845,039978;845,039978;68418100;0,05
23.08.2019;845,080017;850,130005;832,859985;840,320007;840,320007;68801100;-0,56
26.08.2019;840,309998;840,309998;829,130005;833,72998;833,72998;59329500;-0,78
27.08.2019;833,659973;841,190002;833,099976;841,179993;841,179993;67048700;0,9
28.08.2019;841,179993;844,469971;837,530029;840,080017;840,080017;69902200;-0,13
29.08.2019;840,109985;853,719971;840,109985;852,650024;852,650024;76136200;1,49
30.08.2019;852,650024;862,549988;852,619995;861,289978;861,289978;78642700;1,01
02.09.2019;861,150024;862,869995;859,049988;859,23999;859,23999;72863200;-0,22
03.09.2019;859,52002;860,210022;850,169983;850,609985;850,609985;76473400;-1,04
04.09.2019;850,599976;861,22998;850,590027;858,51001;858,51001;71054100;0,93
05.09.2019;858,719971;877,849976;858,710022;876,309998;876,309998;112849200;2,05
06.09.2019;876,309998;876,559998;865,52002;868,210022;868,210022;75827900;-0,92
09.09.2019;868,210022;873,450012;866,48999;867,460022;867,460022;55134500;-0,09
10.09.2019;867,460022;871,710022;865,280029;871,710022;871,710022;68339900;0,49
11.09.2019;871,76001;884,859985;871,76001;884,849976;884,849976;73983500;1,5
12.09.2019;884,849976;885,669983;874,619995;882,630005;882,630005;69632800;-0,25
13.09.2019;882,630005;888,440002;882,619995;888,320007;888,320007;58496000;0,64
16.09.2019;888,299988;900,179993;888,289978;899,549988;899,549988;85442600;1,27
17.09.2019;899,559998;901,289978;888,280029;890,409973;890,409973;88509500;-1,02
18.09.2019;890,409973;899,48999;887,580017;899,48999;899,48999;96372600;1,02
19.09.2019;899,5;901,630005;895,400024;898,51001;898,51001;75588400;-0,11
20.09.2019;898,900024;904,98999;898,77002;904,909973;904,909973;70593400;0,67
23.09.2019;904,909973;905,25;895,309998;897,849976;897,849976;64496100;-0,78
24.09.2019;897,640015;900,049988;889,650024;890,840027;890,840027;66905200;-0,76
25.09.2019;890,830017;890,849976;876,859985;880,159973;880,159973;63593400;-1,2
26.09.2019;880,159973;887,710022;879,22998;880,700012;880,700012;58476000;0,06
27.09.2019;880,700012;888,429993;880,700012;884,26001;884,26001;55326100;0,4
30.09.2019;884,26001;888,559998;881,570007;886,599976;886,599976;54622400;0,26
01.10.2019;886,599976;891,460022;885,539978;886,969971;886,969971;50611800;0,04
02.10.2019;886,929993;886,929993;867,02002;867,659973;867,659973;70637800;-2,17
03.10.2019;867,679993;867,679993;854,719971;856,049988;856,049988;78271100;-1,34
04.10.2019;856,090027;869,619995;856,080017;869,099976;869,099976;68643200;1,52
07.10.2019;869,210022;883,849976;869,210022;883,849976;883,849976;55684600;1,68
08.10.2019;883,900024;886,429993;870,849976;872,780029;872,780029;52672700;-1,26
09.10.2019;872,799988;875,159973;867,700012;871,51001;871,51001;66589000;-0,15
10.10.2019;871,51001;879,080017;868,109985;878,72998;878,72998;71337400;0,83
11.10.2019;878,75;887,98999;878,75;886,030029;886,030029;77615500;0,83
14.10.2019;886,01001;886,01001;873,330017;874,98999;874,98999;61127200;-1,24
15.10.2019;875,049988;882,02002;874,890015;880,25;880,25;62228000;0,59
16.10.2019;879,840027;888,130005;875,179993;887,309998;887,309998;64932800;0,85
17.10.2019;887,289978;896,219971;882,090027;893,650024;893,650024;80493800;0,72
18.10.2019;893,640015;896,320007;890,840027;893,119995;893,119995;95433700;-0,06
21.10.2019;893,130005;901,059998;892,559998;899,450012;899,450012;66540400;0,71
22.10.2019;899,440002;901,390015;896,190002;898,909973;898,909973;66033600;-0,06
23.10.2019;898,919983;901,280029;888,280029;891,890015;891,890015;91968700;-0,78
24.10.2019;891,669983;907,48999;891,669983;906,559998;906,559998;75684300;1,67
25.10.2019;906,580017;907,190002;899,049988;902,559998;902,559998;62420800;-0,44
28.10.2019;902,559998;912,840027;902,48999;911,429993;911,429993;59339900;0,98
29.10.2019;911,51001;911,549988;901,690002;907,669983;907,669983;70981800;-0,42
30.10.2019;907,669983;912,849976;905,109985;906,5;906,5;80582400;-0,13
31.10.2019;906,450012;906,869995;896,539978;898,049988;898,049988;95462200;-0,93
01.11.2019;897,97998;904,469971;896,700012;903,640015;903,640015;58972100;0,63
04.11.2019;903,640015;909,109985;902,859985;908,109985;908,109985;70235300;0,49
05.11.2019;908,169983;911,25;906,190002;908,299988;908,299988;86734200;0,01
06.11.2019;908,320007;910,409973;904,559998;910,409973;910,409973;124334200;0,23
